name,rent,minwage,minwage15,monthly,percent,monthly15,percent15
Seattle,804,11.00,15.00,1760,45.68,2400,33.50
New York,782,8.75,15.00,1400,55.86,2400,32.58
Los Angeles,817,9.00,15.00,1440,56.74,2400,34.04
Chicago,635,8.25,15.00,1320,48.11,2400,26.46
Houston,552,7.25,15.00,1160,47.59,2400,23.00
Philadelphia,567,7.25,15.00,1160,48.88,2400,23.63
Phoenix,561,8.05,15.00,1288,43.56,2400,23.38
Memphis,480,7.25,15.00,1160,41.38,2400,20.00
Miami,625,8.05,15.00,1288,48.52,2400,26.04
Honolulu,859,7.75,15.00,1240,69.27,2400,35.79
Boston,622,9.00,15.00,1440,43.19,2400,25.92
Denver,644,8.23,15.00,1316.8,48.91,2400,26.83
Oklahoma City,470,7.25,15.00,1160,40.52,2400,19.58
Birmingham,339,7.25,15.00,1160,29.22,2400,14.13
